0,JUV
2,VIS
7,DOG
8,AD
11,INT,TRI
12,TRI,VIE
13,DOE
14,TRI,DOB
16,KOC
17,TRI
19,DBE
20,KAZ
26,DOG
27,KOC
28,DPT,MSG
30,KON
32,DOB
34,DBE
35,BIM
36,DPT
37,DOA
38,LEG
39,VIS,DOG
40,DOA
41,DBE
42,DOP
43,INT
44,DOV
45,DOE
47,INT
48,TRI
49,DPT
50,KON
51,INT,BIM
55,CPT
56,DOA
58,VIS,CPT
59,KOC,DBE,KON
61,DOE
62,CPT
63,DOA
66,KAZ
67,INT
68,AH,PLU,PRA
69,VIS,PRA
70,INT
71,VIS,CON
72,KON
73,PLU,THA,-1
74,JUV,INT
75,DPT
76,PLU,CON
78,VIS
79,DBE
80,BIM
81,DBE
82,DOA
83,MAG
85,DOA
86,CON
88,DBE
89,DBE
90,KAZ,KRJ
91,DBE
92,VIE,PLU
93,DBE
94,BIM
95,MOP
96,CPT
97,DPO
99,CON
102,DOE
104,DPT
105,KOC
106,CPT
107,INT
108,CPT
109,KOC,DPT,PRA
110,TRI
111,DOB
112,MSA
113,CPT
114,TRI
115,PLU
116,KOC
118,VIS,LEG,TER
119,DBE
120,DOE
122,VIS,PLU,PRA
123,DOE
124,INT,DOA
125,KON,KRS
126,DPT,CPT,VEN
127,CPT
128,CON
131,DOA
132,DOA,PLU,VEN
133,INT
135,VIE,PLU
136,DPO,MSA,TER,KRS
137,CPT,PLU
138,DBE
139,VIS,KOC,DBE
140,LEG
141,DPT
142,VIS
143,TRI,VIE,CON
144,JUV
145,VIS,INT,DOA,CPT,THA
146,VIS
147,DPO
148,TRI,AH
149,DBE
150,VIS,DPO,TER
153,AH,DOF,PUF
154,DPO
155,PLU
156,DBE
157,MSA
158,LEG
161,VIS
163,KOC,DOA
164,KOC,MOC
165,DOG,AH,CON
166,KOC,DPT
168,MOC
169,DOB
171,DPT
172,DBE,PRA
174,DBE,DPT
175,TRI,DPT,PLU,VEN
176,KAZ
177,CPT
178,PLU
180,DOB
181,DPT
182,DOE
183,CON
184,DPT
186,LEG
187,DPT
188,KOC
189,DOG
190,DPT
191,VIE,KON,VEN
192,DOE
193,X4
194,DBE
195,DBE,KON,BIM
196,DOG
197,INT,DBE,CPT
198,CPT
199,ZEN
200,DOG
201,DBE
202,KOC
203,INT,KON
204,CON,TER
205,DOE
206,INT
207,DOP
208,LEG
209,DBE
211,DOE,DOB,DBE,CPT
212,CPT,MOP
214,DOE
217,VIS,INT,KON,DPO,VEN
218,DOA
219,VIS,ZEN
220,CPT
221,VIE
222,DOG,TRI
223,DOE
224,INT
225,AH
227,KOC,PLU,PRA
228,DOE
230,DOE
231,KAZ,KRJ
233,DBE,DOA
234,DBE,CON
235,DOA
237,VEN,X5
238,DPT
239,MOC
240,INT,DBE,CON,TER
242,CPT,AH
243,DOP
244,DOG
246,CPT
248,DPT,TER
249,DOV,CON
250,DPO
251,DBE
252,DPT
253,DPT,BIM,CPT
255,VEN
256,DOB,CPT
257,TRI
258,DOA
259,DOA
260,DOB
261,DOE
262,CPT
263,TRI,PRA
264,DOE,DPO
265,DPT,CPT
266,AH
267,DOE,DPT
268,CON
269,CPT
270,DOB,CPT,VEN
271,TER
272,CPT
273,DOA
274,DPO
276,DBE
277,DPT,CON,MOC
278,DOG,CPT
279,DBE,DPT,DOV,CPT
280,PLU,CON
281,VIE,DBE
282,DOP
283,INT,DOB
284,BIM
285,DOE
287,DOE
289,VEN
290,KOC
291,CPT
292,DOB
293,DOA
294,DBE,DPT,CON
295,DPT
296,CPT
297,DOB
298,INT,DOE,CON
299,TER
300,KOC,DBE,CPT,CON,MSA
301,CON
302,VEN,PUF,X4,LEV
303,VIE,DOE,DBE,DPT,VEN
304,DPT,CPT,CON
305,KOC,KRS,VEN,MOC,X4
306,DPT
307,DOA
308,PLU
309,BIM
310,DOB,DOA
311,KOC
312,DBE
313,DOE
314,AD,LEG,PRA,TER,MOC
315,DPT
316,DOE
320,KOC,DPT
321,KOC,DBE
322,DPT
323,DOB
324,TRI
325,DPT
326,VIS,INT
327,DPT,KON,DOP
328,TRI,DOA
329,DOA
330,DBE
331,KON
332,DBE,DOA,PLU
333,KOC,DPT
334,TRI
336,DOA
337,DOE
339,INT
340,KOC
341,DBE
342,LEG,TER
343,KOC
344
345,KOC,DBE,KON
347,LEG
349,DPT
350,KOC,KON
351,DOE
352,DBE
353,INT,CPT
354,DOV
355,DOA
357,PLU,AMB
358,CPT
361,DOE
